,paper:title,paper:DOI,paper:authors,HAS_VENUE,paper:research_field,contribution:research_problem,keywords
0,Low dietary fiber promotes enteric expansion of a Crohn's disease-associated pathobiont independent of obesity.,['10.1152/ajpendo.00134.2021 [doi]'],,American journal of physiology. Endocrinology and metabolism,['R84'],['Effect of low dietry fiber on Crohn´s disease'],"['dietry fiber', 'promotes', ""Crohn's disease""]"
1,Dietary fiber-derived short-chain fatty acids: A potential therapeutic target to alleviate obesity-related nonalcoholic fatty liver disease.,['10.1111/obr.13316 [doi]'],"['ORCID: https://orcid.org/0000-0002-9030-8070', 'ORCID: https://orcid.org/0000-0003-4562-9331']",Obesity reviews : an official journal of the International Association for the Study of Obesity,['R84'],['Short fatty acids as a therapeutical target in management of liver diseases'],"['obesity', 'promotes', 'liver diseases']"
2,"Adipose Tissue Inflammation Is Directly Linked to Obesity-Induced Insulin Resistance, while Gut Dysbiosis and Mitochondrial Dysfunction Are Not Required.","['10.1093/function/zqaa013 [doi]', 'zqaa013 [pii]']",,"Function (Oxford, England)",['R84'],['Effects of obesity-induced insulin resistance'],"['high fat-diet', 'causes', 'obesity']"
3,"Whole genome metagenomic analysis of the gut microbiome of differently fed infants identifies differences in microbial composition and functional genes, including an absent CRISPR/Cas9 gene in the formula-fed cohort.",['10.1016/j.humic.2019.100057 [doi]'],,Human microbiome journal,['R84'],['Gut microbiome difference of breast-fed versus formula-fed infants'],"['gut microbiota', 'influences', 'diabetes']"
4,Oral Limonite Supplement Ameliorates Glucose Intolerance in Diabetic and Obese Mice.,"['10.2147/JIR.S320451 [doi]', '320451 [pii]']","['ORCID: 0000-0002-7022-9156', 'ORCID: 0000-0003-1842-1965', 'ORCID: 0000-0001-5748-1499']",Journal of inflammation research,['R52'],['Effect of limonite on diabetes mellitus'],"['limonite intake', 'decreases', 'obesity']"
5,Interactions between the microbiota and enteric nervous system during gut-brain disorders.,"['S0028-3908(21)00276-8 [pii]', '10.1016/j.neuropharm.2021.108721 [doi]']",,Neuropharmacology,['R52'],['Connection between gut microbiota and brain disease'],"['gut', 'influences', 'brain']"
6,NOD1 in the interplay between microbiota and gastrointestinal immune adaptations.,"['S1043-6618(21)00359-5 [pii]', '10.1016/j.phrs.2021.105775 [doi]']",,Pharmacological research,['R56'],"['Connection between microbiota and, the immune system and metabolic disorders']","['NOD-1', 'promotes', 'obesity']"
7,Ligilactobacillus Salivarius LCK11 Prevents Obesity by Promoting PYY Secretion to Inhibit Appetite and Regulating Gut Microbiota in C57BL/6J Mice.,['10.1002/mnfr.202100136 [doi]'],['ORCID: https://orcid.org/0000-0002-6312-2991'],Molecular nutrition & food research,['R84'],['Effect of Ligilactobacillus salivarius on obesity'],"['LCK11', 'prevents', 'obesity']"
8,Gut commensal-derived butyrate reverses obesity-induced social deficits and anxiety-like behaviors via regulation of microglial homeostasis.,"['S0014-2999(21)00491-X [pii]', '10.1016/j.ejphar.2021.174338 [doi]']",,European journal of pharmacology,['R84'],['Effect of Butyrat on obestiy related anxiety-like disorders'],"['obesity', 'influences', 'anxiety disorder']"
9,"""More Guts Than Brains?""-The Role of Gut Microbiota in Idiopathic Intracranial Hypertension.","['10.1097/WNO.0000000000001330 [doi]', '00041327-900000000-98687 [pii]']",,Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society,['R52'],['Effect of gut microbiota on Idiopathic intracranial hypertension syndrome'],"['obesity', 'causes', 'pseudotumor cerebri']"
